,Model Year,Make,Model,Vehicle Class,full PRICE (w/o tax),Engine Size (L),Cylinders,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Highway (L/100 km),CO2 Emissions (g/km),CO2 Rating,Fuel CostPerYear,yearly_lease_price,yearly cost,Car,Combined (L/100 km)
115,2020,Lexus,RX 450h AWD,SUV,58800,3.5,6,Z,7.5,8.4,185,7,2291,9106.44,11397.44,Lexus RX 450h AWD,7.905
116,2020,Lexus,RX 450h L AWD,SUV,76100,3.5,6,Z,8.1,8.4,190,6,2349,12529.8,14878.8,Lexus RX 450h L AWD,8.235
117,2020,Lexus,UX 200,Mid-size,37450,2,4,X,8,6.3,168,7,1872,5578.92,7450.92,Lexus UX 200,7.235
118,2020,Lexus,UX 250h AWD,Compact,40000,2,4,X,5.7,6.2,140,9,1560,5751.84,7311.84,Lexus UX 250h AWD,5.925
119,2020,Mazda,CX-3,Compact,22345,2,4,X,8.3,6.9,179,7,2002,3844.56,5846.56,Mazda CX-3,7.67
120,2020,Mazda,CX-3 (SIL),Compact,21045,2,4,X,8.8,7,186,7,2080,3646.56,5726.56,Mazda CX-3 (SIL),7.99
121,2020,Mazda,CX-3 4WD,Compact,31045,2,4,X,8.6,7.4,189,6,2106,5048.52,7154.52,Mazda CX-3 4WD,8.06
122,2020,Mazda,CX-30,SUV,23950,2,4,X,8.9,7.1,189,6,2106,4127.04,6233.04,Mazda CX-30,8.09
123,2020,Mazda,CX-30,SUV,26650,2.5,4,X,9.3,7.1,194,6,2158,4541.88,6699.88,Mazda CX-30,8.31
124,2020,Mazda,CX-30 4WD,SUV,25950,2,4,X,9.4,7.7,202,6,2236,4434.36,6670.36,Mazda CX-30 4WD,8.635
125,2020,Mazda,CX-30 4WD,SUV,28650,2.5,4,X,9.9,7.7,208,6,2314,4794.24,7108.24,Mazda CX-30 4WD,8.91
126,2020,Mazda,CX-30 4WD (Cylinder Deactivation),SUV,33850,2.5,4,X,9.5,7.4,200,6,2236,5519.28,7755.28,Mazda CX-30 4WD (Cylinder Deactivation),8.555
127,2020,Mazda,CX-5,SUV,27950,2.5,4,X,9.7,7.8,206,6,2288,4467.96,6755.96,Mazda CX-5,8.845
128,2020,Mazda,CX-5 (Cylinder Deactivation),SUV,32950,2.5,4,X,9.3,7.6,201,6,2210,5144.64,7354.64,Mazda CX-5 (Cylinder Deactivation),8.535
129,2020,Mazda,CX-5 4WD,SUV,29950,2.5,4,X,10.2,8.2,217,5,2418,4764.12,7182.12,Mazda CX-5 4WD,9.3
130,2020,Mazda,CX-5 4WD (Cylinder Deactivation),SUV,37650,2.5,4,X,9.8,7.9,208,6,2340,5759.4,8099.4,Mazda CX-5 4WD (Cylinder Deactivation),8.945
131,2020,Mazda,CX-5 Turbo 4WD,SUV,39650,2.5,4,X,10.8,8.7,230,5,2548,6048.12,8596.12,Mazda CX-5 Turbo 4WD,9.855
132,2020,Mazda,CX-9 4WD,SUV,39900,2.5,4,X,11.6,9.1,244,5,2730,5925.6,8655.6,Mazda CX-9 4WD,10.475
133,2020,Mazda,Mazda3 4-Door,Compact,21600,2,4,X,8.4,6.6,178,7,1976,3793.44,5769.44,Mazda Mazda3 4-Door,7.59
134,2020,Mazda,Mazda3 4-Door (SIL),Compact,18000,2,4,X,8.7,6.4,180,7,2002,3630.24,5632.24,Mazda Mazda3 4-Door (SIL),7.665
135,2020,Mazda,Mazda3 4-Door,Compact,26500,2.5,4,X,8.8,6.4,181,7,2028,4321.2,6349.2,Mazda Mazda3 4-Door,7.72
136,2020,Mazda,Mazda3 4-Door (Cylinder Deactivation),Compact,24300,2.5,4,X,8.8,6.6,183,7,2002,4088.52,6090.52,Mazda Mazda3 4-Door (Cylinder Deactivation),7.81
137,2020,Mazda,Mazda3 4-Door 4WD,Compact,30500,2.5,4,X,9.2,7,192,6,2132,4857.72,6989.72,Mazda Mazda3 4-Door 4WD,8.21
138,2020,Mazda,Mazda3 5-Door,Mid-size,22600,2,4,X,8.6,6.7,181,7,2002,3970.56,5972.56,Mazda Mazda3 5-Door,7.745
139,2020,Mazda,Mazda3 5-Door (SIL),Mid-size,21300,2,4,X,8.7,6.6,181,7,2080,3766.32,5846.32,Mazda Mazda3 5-Door (SIL),7.755
140,2020,Mazda,Mazda3 5-Door,Mid-size,25300,2.5,4,X,9,6.8,187,7,2028,4297.2,6325.2,Mazda Mazda3 5-Door,8.01
141,2020,Mazda,Mazda3 5-Door (SIL),Mid-size,24000,2.5,4,X,9.2,6.6,189,6,2106,4144.2,6250.2,Mazda Mazda3 5-Door (SIL),8.03
142,2020,Mazda,Mazda3 5-Door 4WD,Mid-size,27000,2.5,4,X,9.8,7.4,204,6,2262,4506.24,6768.24,Mazda Mazda3 5-Door 4WD,8.72
143,2020,Mazda,Mazda6,Mid-size,27350,2.5,4,X,9,6.7,188,6,2080,4731.84,6811.84,Mazda Mazda6,7.965
